PBA smiles,pKa
COc1ccccc1[B-](O)(O)O,9.0
NC1=CC=CC([B-](O)(O)O)=C1,8.9
O[B-](O)(O)C1=CC=CC=C1,8.8
O[B-](O)(O)C1=CC=C(F)C=C1,8.6
O[B-](O)(O)C1=C(Cl)C=C(Cl)C=C1,8.5
O[B-](O)(O)C1=CC=C(Cl)C=C1Cl,8.5
O[B-](O)(O)C1=CC=C(Br)C=C1,8.8
NCC1=CC=C([B-](O)(O)O)C=C1,8.3
O[B-](O)(O)C1=CC=CN=C1,8.1
O[B-](O)(O)C1=CC=NC=C1,8.0
O=C(O)C1=CC=C([B-](O)(O)O)C=C1,8.0
CC(=O)C1=CC=CC([B-](O)(O)O)=C1,8.0
O[B-](O)(O)C1=CC(Cl)=C(F)C=C1,7.8
O=CC1=CC=CC([B-](O)(O)O)=C1,7.8
CC(=O)C1=CC=C([B-](O)(O)O)C=C1,7.7
O=CC1=CC=C([B-](O)(O)O)C=C1,7.6
O[B-](O)(O)C1=C(F)C=C(F)C=C1,7.6
O[B-](O)(O)C1=CC=C(F)C=C1F,7.6
O=[N+]([O-])C1=CC=CC([B-](O)(O)O)=C1,7.1
O[B-](O)(O)C1=C(F)C=C(F)C(F)=C1,6.8
O[B-](O)(O)C1=C(F)C(F)=C(F)C=C1,6.8
C[NH+](C)CC1=CC=CC=C1[B-](O)(O)O,5.3
O=[N+]([O-])C1=CC=C(F)C([B-](O)(O)O)=C1,6.0
CC1=CC([B-](O)(O)O)=C[N+](C)=C1,4.4
C[N+]1=CC=CC([B-](O)(O)O)=C1,4.4
O=CC1=CC=CC=C1[B-](O)(O)O,7.31
O[B-](O)(O)C1=CC(F)=CC=C1,7.5
O[B-](O)(O)C1=CC(C(F)(F)F)=CC=C1,7.85
C=CCCS(=O)(=O)C1=CC=C([B-](O)(O)O)C=C1,7.1
C=CCNS(=O)(=O)C1=CC=C([B-](O)(O)O)C=C1,7.4
NC1=CC([B-](O)(O)O)=CC=C1[N+](=O)[O-],7.1
C=CC(=O)NC1=CC=CC([B-](O)(O)O)=C1,8.2
C=CC(=O)NCCNC(=O)C1=CC=C([B-](O)(O)O)C=C1,7.8
O=CC1=C(F)C([B-](O)(O)O)=CC=C1F,6.5
O[B-](O)(O)C1=CSC=C1,8.1
O[B-](O)(O)C1=CC=CN=C1F,7.1
O[B-](O)(O)C1=CN=C(F)C=C1,7.0
C[N+]1=CN=CC([B-](O)(O)O)=C1,6.2
O=C(O)C1=NC=C([B-](O)(O)O)C=C1,4.2
C[N+]1=CC([B-](O)(O)O)=CC=C1C(=O)O,4.2
CCCNC(=O)C1=NC=C([B-](O)(O)O)C=C1,4.2
CCCNC(=O)C1=CC=C([B-](O)(O)O)C=[N+]1C,4.2
O=C(O)C[N+]1=CC=CC([B-](O)(O)O)=C1,4.4
CCC(=O)NC1=CC=CC([B-](O)(O)O)=C1,8.3
CS(=O)(=O)C1=CC=C([B-](O)(O)O)C=C1,7.1
C[N+]1=CC=CC([B-](O)(O)O)=C1F,6.3
COC1=CC=CC([B-](O)(O)O)=C1,9.0
O[B-](O)(O)C1=CN=CC=C1,8.1
O[B-](O)(O)C1=CC=C(F)C(Cl)=C1,7.8
O[B-](O)(O)C1=CC(F)=CC=C1F,7.0
O[B-](O)(O)C1=CC=C(F)C(F)=C1F,6.8
O=CC1=CC=C(F)C=C1[B-](O)(O)O,6.72
O=CC1=CC=C(C(F)(F)F)C=C1[B-](O)(O)O,6.72
O=CC1=C([B-](O)(O)O)C=CC=C1,7.31
O[B-](O)(O)C1=CC=C(F)N=C1,7.0
O[B-](O)(O)C1=CN=CN=C1,6.2
O=C(O)C1=CC=C([B-](O)(O)O)C=N1,4.2
CCCNC(=O)C1=CC=C([B-](O)(O)O)C=N1,4.2
NC1=CC([B-](O)(O)O)=CC=C1,8.9
CC(=O)C1=CC([B-](O)(O)O)=CC=C1,8.0
O=CC1=CC([B-](O)(O)O)=CC=C1,7.8
O=[N+]([O-])C1=CC([B-](O)(O)O)=CC=C1,7.1
O[B-](O)(O)C1=C(F)C=CC(F)=C1,7.0
O=[N+]([O-])C1=CC([B-](O)(O)O)=C(F)C=C1,6.0
C[N+]1=CC=C([B-](O)(O)O)C=C1,4.4
O[B-](O)(O)C1=CC=CC(F)=C1,7.5
O[B-](O)(O)C1=CC=CC(C(F)(F)F)=C1,7.85
C=CC(=O)NC1=CC([B-](O)(O)O)=CC=C1,8.2
C=CC(=O)NCCNC(=O)C1=CC([B-](O)(O)O)=CC=C1,7.8
O=C(O)C[N+]1=CC([B-](O)(O)O)=CC=C1,4.4
CCC(=O)NC1=CC([B-](O)(O)O)=CC=C1,8.3
